"","sentence_id","word","element_id","word_count","sentiment","ave_sentiment","sd_sentiment"
"448",4860,"include",5134,1,0.6,0.6,NA
"449",4862,"frozen",5136,1,-0.25,-0.25,NA
"450",4869,"quality",5143,1,1,1,NA
"451",4872,"snacks",5146,1,0.4,0.4,NA
"452",4885,"continue",5159,1,0.4,0.4,NA
"453",4887,"strategic",5161,1,0.6,0.6,NA
"454",4894,"sustainability",5168,1,1,1,NA
"455",4897,"commitment",5171,1,0.5,0.5,NA
"456",4909,"constructive",5183,1,1,1,NA
"457",4914,"including",5188,1,0.6,0.6,NA
"458",4925,"government",5199,1,-0.5,-0.5,NA
"459",4927,"government",5201,1,-0.5,-0.5,NA
"460",4928,"civil",5202,1,0.8,0.8,NA
"461",4935,"objective",5209,1,0.4,0.4,NA
"462",4941,"ensure",5215,1,0.8,0.8,NA
"463",4954,"progress",5228,1,0.75,0.75,NA
"464",4963,"focused",5237,1,0.6,0.6,NA
"465",4968,"united",5242,1,0.5,0.5,NA
"466",4970,"sustainable",5244,1,1,1,NA
"467",4976,"well",5250,1,0.8,0.8,NA
"468",4984,"accept",5258,1,1,1,NA
"469",4986,"importance",5260,1,0.5,0.5,NA
"470",4996,"best",5270,1,0.5,0.5,NA
"471",4997,"capture",5271,1,-0.6,-0.6,NA
"472",5002,"aspirations",5276,1,0.8,0.8,NA
"473",5008,"community",5282,1,0.6,0.6,NA
"474",5010,"integral",5284,1,0.6,0.6,NA
"475",5014,"sustainability",5288,1,1,1,NA
"476",5047,"advance",5321,1,0.8,0.8,NA
"477",5050,"care",5324,1,1,1,NA
"478",5089,"information",5369,1,0.4,0.4,NA
"479",5093,"general",5374,1,0.4,0.4,NA
"480",5097,"general",5379,1,0.4,0.4,NA
"481",5108,"general",5392,1,0.4,0.4,NA
"482",5112,"chairman",5398,1,0.25,0.25,NA
"483",5142,"loss",5438,1,-0.75,-0.75,NA
"484",5145,"comprehensive",5441,1,0.75,0.75,NA
"485",5162,"equity",5461,1,1,1,NA
"486",5168,"equity",5468,1,1,1,NA
"487",5174,"cash",5475,1,0.4,0.4,NA
"488",5187,"major",5492,1,0.4,0.4,NA
"489",5196,"general",5502,1,0.4,0.4,NA
"490",5201,"information",5509,1,0.4,0.4,NA
"491",5243,"chairman",5554,1,0.25,0.25,NA
"492",5251,"director",5564,1,0.25,0.25,NA
"493",5256,"chairman",5569,1,0.25,0.25,NA
"494",5268,"deceased",5583,1,-1,-1,NA
"495",5292,"main",5611,1,0.4,0.4,NA
"496",5294,"custody",5613,1,-0.4,-0.4,NA
"497",5297,"limited",5616,1,-0.75,-0.75,NA
"498",5328,"limited",5657,1,-0.75,-0.75,NA
"499",5334,"limited",5664,1,-0.75,-0.75,NA
"500",5354,"limited",5687,1,-0.75,-0.75,NA
"501",5382,"shares",5723,1,0.1,0.1,NA
